"Estado","Ano","ImpostoSobreProduto","Pib","RendaPerCapita","RendimentoMedio","TaxaDesemprego","TotalAdmissao","TotalDemissao","TaxaInadimplencia","QtdInadimplentes","TotalHomem","TotalMulher","H_0 a 1","H_1 a 4","H_5 a 9","H_10 a 14","H_15 a 19","H_20 a 29","H_30 a 39","H_40 a 49","H_50 a 59","H_60 a 69","H_70 a 79","H_80 +","M_0 a 1","M_1 a 4","M_5 a 9","M_10 a 14","M_15 a 19","M_20 a 29","M_30 a 39","M_40 a 49","M_50 a 59","M_60 a 69","M_70 a 79","M_80 +","Automovel","Caminhao","CaminhaoTrator","Caminhonete","Camioneta","Ciclomotor","Microonibus","Motocicleta","Motoneta"
"Amazonas","2017","12,389,174","91,465,816"," $ 850.00 "," $ 1,883.75 ","15.7%","116592","117539","53.4%","1294398","2048380","2019142","36625","147122","206363","231755","197944","393333","325262","228313","150713","77660","37204","16086","35525","141664","196270","223170","195846","390915","327856","218704","148393","78265","41353","21181","377799","19848","3022","84007","26962","1981","3501","244350","54460"
"Bahia","2017","31,761,705","272,254,310"," $ 862.00 "," $ 1,561.00 ","17.0%","536714","540620","39.4%","4136228","7446766","8644638","52405","242336","452308","531760","420679","1417586","1362428","1158546","828541","531519","303822","144836","41191","218128","370714","593690","497564","1498875","1418415","1228539","926299","549300","1115526","186397","1754967","116551","20213","338113","111050","14871","28552","1248065","182345"
"Ceará","2017","17,258,249","146,128,151"," $ 824.00 "," $ 1,474.25 ","12.6%","365964","371270","38.4%","2340965","4396740","4631055","56087","227524","318750","428032","433894","861460","661307","577361","364341","251962","138399","77623","54467","217679","306548","408193","427529","882085","698996","624152","427733","292943","181447","109283","1098909","72249","8314","185097","58475","7179","11971","1327944","157912"
"Distrito Federal","2017","28,972,358","255,381,137"," $ 2,548.00 "," $ 4,178.25 ","13.2%","239867","243261","45.0%","952768","1452834","1586912","17274","72611","106975","124393","109913","284983","273053","212370","133466","70024","35377","12395","17195","70739","102619","119681","106678","299438","307673","238743","164732","92308","46112","20994","1247360","23657","3210","120921","82189","1219","5692","182428","18591"
"Espírito Santo","2017","14,196,084","98,088,020"," $ 1,205.00 "," $ 2,173.00 ","13.1%","285564","290111","44.7%","1275301","1979433","2040193","26104","100410","145287","168848","155656","379115","323943","263200","214403","116906","59983","25578","23741","99883","138959","163855","150600","376141","336526","273150","232404","130713","74075","40146","927681","72046","17209","160448","55813","1480","8016","432467","103097"
"Goiás","2017","20,245,626","189,751,550"," $ 1,277.00 "," $ 2,205.25 ","10.6%","549161","532925","35.4%","2071634","3365361","3420238","42167","178339","259074","304862","278118","633345","591765","462815","310689","182360","87612","34215","43223","172928","252901","287592","275234","626607","603999","476412","336777","197785","103491","43289","1782213","110366","29130","339970","93728","26487","9577","854527","268802"
"Maranhão","2017","10,182,869","92,096,006"," $ 597.00 "," $ 1,316.25 ","14.3%","135500","138325","41.5%","1810817","3485675","3525280","56662","256466","343589","367469","340064","689265","497538","359499","257082","173407","101650","42984","56609","248570","328168","353436","335232","698815","514123","382424","282781","172421","102962","49739","415386","40052","4394","112551","22876","10406","4804","821118","150802"
"Mato Grosso","2017","14,109,932","140,249,681"," $ 1,247.00 "," $ 2,312.00 ","9.0%","349339","337186","46.9%","1065509","1688516","1645626","22074","96958","124625","141527","141284","315806","281342","246268","162658","91614","47874","16486","23995","94524","116785","137287","142012","300812","286904","233302","159537","88481","43712","18275","680897","69978","31104","207218","39785","7512","3507","597999","212898"
"Mato Grosso do Sul","2017","9,684,204","100,649,445"," $ 1,291.00 "," $ 2,281.25 ","8.5%","222990","229551","42.1%","784318","1336230","1369779","19270","73924","96063","115133","117135","244690","203117","187274","139090","79017","43918","17599","19354","70932","90949","111433","114772","240613","223236","196422","147602","85130","47412","21924","704169","51664","16350","152990","38381","3638","3771","358848","106706"
"Minas Gerais","2017","70,787,232","569,936,787"," $ 1,224.00 "," $ 2,011.25 ","12.2%","1620892","1605454","38.4%","5833646","10352936","10786173","96185","384704","582599","808485","812014","1898374","1611661","1541726","1283636","749947","411412","172193","92617","364185","581149","788944","796778","1862502","1643811","1628025","1397196","828183","526166","276617","5901355","328235","67003","873033","309590","48786","45814","2447853","278961"
