Idade,Juros,Classe,Genero,ValorEmprestimo,ValorFinal,QtdParcelas,ValorParcela,MotivoEmprestimo
29,790.8,Adulto,1,1000.0,1790.8,11,162.8,Compras
29,2449.56,Adulto,1,2850.0,5299.56,12,441.63,Outros
29,147.01,Adulto,1,500.0,647.01,3,215.67,Outros
29,773.52,Adulto,1,900.0,1673.52,12,139.46,Nao informado
29,2578.44,Adulto,1,3000.0,5578.44,12,464.87,Pagar cartao de Credito
29,988.4,Adulto,1,1150.0,2138.4,12,178.2,Nao informado
30,1289.28,Adulto,1,1500.0,2789.28,12,232.44,Dinheiro Extra
30,2707.44,Adulto,1,3150.0,5857.44,12,488.12,Pagamento de dívidas
30,2121.99,Adulto,1,4000.0,6121.99,7,874.57,Simulacao
30,1375.16,Adulto,1,1600.0,2975.16,12,247.93,Nao informado
30,234.58,Adulto,1,500.0,734.58,6,122.43,Nao informado
30,328.4,Adulto,1,700.0,1028.4,6,171.4,Nao informado
30,859.52,Adulto,0,1000.0,1859.52,12,154.96,Nao informado
30,2320.68,Adulto,0,2700.0,5020.68,12,418.39,Dinheiro Extra
30,1547.04,Adulto,0,1800.0,3347.04,12,278.92,Pagamento de dívidas
